"""Politeknik Negeri Fakfak""","Kab. Fak-Fak, Prov. Papua Barat","Rp1.500.000 - 2.750.000","Baik","8 Program Studi","36.40 % per tahun"
"""Institut Teknologi Sumatera""","Kab. Lampung Selatan, Prov. Lampung","Rp250.000 - 30.000.000","Baik","42 Program Studi","25.55 % per tahun"
"""Politeknik Negeri Madiun""","Kota Madiun, Prov. Jawa Timur","Rp500.000 - 7.000.000","Baik Sekali","18 Program Studi","..."
"""Universitas Tadulako""","Kota Palu, Prov. Sulawesi Tengah","Rp800.000 - 850.000.000","Unggul","108 Program Studi","..."
"""Akademi Komunitas Negeri Putra Sang Fajar Blitar""","Kota Blitar, Prov. Jawa Timur","Rp -","Baik","4 Program Studi","..."
"""Universitas Timor""","Kab. Timor Tengah Utara, Prov. Nusa Tenggara Timur","Rp500.000 - 3.750.000","Baik","16 Program Studi","..."
"""Universitas Maritim Raja Ali Haji (UMRAH)""","Kota Tanjungpinang, Prov. Kepulauan Riau","Rp500.000 - 500.000","Baik Sekali","33 Program Studi","..."
"""Politeknik Pertanian Negeri Pangkajene Kepulauan""","Kab. Pangkajene Kepulauan, Prov. Sulawesi Selatan","Rp500.000 - 7.000.000","B","29 Program Studi","..."
"""Universitas Riau""","Kota Pekanbaru, Prov. Riau","Rp250.000 - 70.000.000","Unggul","130 Program Studi","..."
"""Universitas Halu Oleo""","Kota Kendari, Prov. Sulawesi Tenggara","Rp -","B","125 Program Studi","..."
"""Universitas Mulawarman""","Kota Samarinda, Prov. Kalimantan Timur","Rp1 - 1","Baik Sekali","129 Program Studi","..."
"""Institut Seni Indonesia Denpasar""","Kota Denpasar, Prov. Bali","Rp500.000 - 20.000.000","A","21 Program Studi","..."
"""Akademi Komunitas Negeri Pacitan""","Kab. Pacitan, Prov. Jawa Timur","Rp500.000 - 2.400.000","Baik","3 Program Studi","..."
"""Universitas Singaperbangsa Karawang""","Kab. Karawang, Prov. Jawa Barat","Rp150.000 - 13.300.000","B","42 Program Studi","..."
"""Politeknik Negeri Nusa Utara""","Kab. Kep. Sangihe, Prov. Sulawesi Utara","Rp500.000 - 5.000.000","Baik Sekali","7 Program Studi","..."
"""Politeknik Negeri Banjarmasin""","Kota Banjarmasin, Prov. Kalimantan Selatan","Rp950.000 - 5.700.000","B","26 Program Studi","..."
"""Universitas Tidar""","Kota Magelang, Prov. Jawa Tengah","Rp250.000 - 29.000.000","B","32 Program Studi","..."
"""Sekolah Tinggi Seni Indonesia Padang Panjang""","Kota Padang Panjang, Prov. Sumatera Barat","Rp -","Tidak Terakreditasi","8 Program Studi","..."
"""Universitas Negeri Jakarta""","Kota Jakarta Timur, Prov. D.K.I. Jakarta","Rp250.000 - 2.147.483.647","Unggul","178 Program Studi","..."
"""Universitas Negeri Semarang""","Kota Semarang, Prov. Jawa Tengah","Rp50.000 - 150.000.000","Unggul","138 Program Studi","..."
"""Politeknik Negeri Pontianak""","Kota Pontianak, Prov. Kalimantan Barat","Rp500.000 - 4.000.000","B","43 Program Studi","..."
"""Universitas Bengkulu""","Kota Bengkulu, Prov. Bengkulu","Rp114 - 2.525.003.625.000","B","103 Program Studi","..."
"""Institut Seni Indonesia Surakarta""","Kota Surakarta, Prov. Jawa Tengah","Rp500.000 - 15.000.000","Baik Sekali","32 Program Studi","..."
"""Politeknik Negeri Samarinda""","Kota Samarinda, Prov. Kalimantan Timur","Rp -","Baik Sekali","47 Program Studi","..."
"""Universitas Sembilanbelas November Kolaka""","Kab. Kolaka, Prov. Sulawesi Tenggara","Rp1.000.000 - 3.500.000","Baik","30 Program Studi","..."
"""Universitas Pendidikan Ganesha""","Kab. Buleleng, Prov. Bali","Rp250.000 - 27.889.000","A","97 Program Studi","..."
"""Politeknik Negeri Nunukan""","Kab. Nunukan, Prov. Kalimantan Utara","Rp240.000 - 3.500.000","Baik","4 Program Studi","..."
